方案,求解状态,有可行解,运行时间_s,MIPGap,OperatingCost_CNY,CarbonEmission_tCO2,Curtailment_MWh,CurtailmentRate,RenewableUtilization,PeakByRegion
严格碳约束_影子价格_3,OPTIMAL,1,0.1380000114440918,0.0,-449299323.90582347,0.0,3553279.2217483246,0.30762275815808365,0.6923772418419163,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 0.0, 'RegionF': 0.0}"
严格碳约束_协调_3,OPTIMAL,1,1.375,9.234415464876035e-16,-451823415.3690804,0.0,3553279.221748328,0.30762275815808393,0.6923772418419161,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 0.0, 'RegionF': 0.0}"
平坦电价,TIME_LIMIT,1,73.90100002288818,0.0015654243627257073,-434475639.0959135,80.1976228954615,3553279.221748329,0.30762275815808404,0.692377241841916,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 45.571666249996156, 'RegionF': 45.00247666666826}"
平坦电价_影子价格_1,OPTIMAL,1,0.19899988174438477,0.0,-434848297.2348385,4.288833891945888,3553279.2217483353,0.3076227581580846,0.6923772418419154,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 17.784166666666692, 'RegionF': 0.06253042333412395}"
平坦电价_协调_1,OPTIMAL,1,14.381999969482422,0.0,-444475861.37911826,0.0,3553279.221748323,0.30762275815808354,0.6923772418419165,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 0.0, 'RegionF': 0.0}"
平坦电价_影子价格_2,OPTIMAL,1,0.1490001678466797,0.0,-444475861.37911826,0.0,3553279.2217483306,0.3076227581580842,0.6923772418419158,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 0.0, 'RegionF': 0.0}"
平坦电价_协调_2,OPTIMAL,1,1.4619998931884766,1.0609045064373013e-15,-449462845.43971443,0.0,3550782.4845597045,0.3074066048156562,0.6925933951843438,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 0.0, 'RegionF': 0.0}"
平坦电价_影子价格_3,OPTIMAL,1,0.13899993896484375,0.0,-449462845.43971443,0.0,3553279.2217483134,0.3076227581580827,0.6923772418419173,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 0.0, 'RegionF': 0.0}"
平坦电价_协调_3,OPTIMAL,1,6.541999816894531,7.911648067463442e-16,-452027018.3946681,0.0,3523998.4658685,0.3050877964163849,0.694912203583615,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 0.0, 'RegionF': 0.0}"
扩大峰谷价差,TIME_LIMIT,1,73.34999990463257,0.0010970896348898947,-434789186.1351144,174.28112110219053,3553278.3238895107,0.3076226804265609,0.6923773195734391,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 33.40821290666271, 'RegionE': 85.88666625000064, 'RegionF': 45.00247666666684}"
扩大峰谷价差_影子价格_1,OPTIMAL,1,0.23099994659423828,0.0,-434932543.2463972,197.37605404756894,3553279.221748337,0.30762275815808476,0.6923772418419152,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 33.40821290666702, 'RegionE': 85.88666625000064, 'RegionF': 75.91324666666662}"
扩大峰谷价差_协调_1,OPTIMAL,1,14.376000165939331,3.4423166348813514e-05,-444431283.4451468,187.40779553368648,3553279.221748324,0.30762275815808365,0.6923772418419163,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 31.697786666668208, 'RegionE': 85.88666625000064, 'RegionF': 45.963542486658774}"
扩大峰谷价差_影子价格_2,OPTIMAL,1,0.1549999713897705,0.0,-444431283.4451468,187.40779553368648,3553279.2217483344,0.30762275815808454,0.6923772418419154,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 31.697786666668208, 'RegionE': 85.88666625000064, 'RegionF': 45.963542486658774}"
扩大峰谷价差_协调_2,OPTIMAL,1,2.63700008392334,6.361284127768262e-05,-449250119.6477598,108.54818744361359,3550716.614774323,0.3074009021833006,0.6925990978166994,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 44.61341376000223, 'RegionE': 20.39333333333218, 'RegionF': 33.722153756666444}"
扩大峰谷价差_影子价格_3,OPTIMAL,1,0.1400001049041748,0.0,-449250119.6477598,108.54818744361359,3553279.2217483306,0.3076227581580842,0.6923772418419158,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 44.61341376000223, 'RegionE': 20.39333333333218, 'RegionF': 33.722153756666444}"
扩大峰谷价差_协调_3,OPTIMAL,1,1.7189998626708984,5.089808538239587e-05,-451744581.99525976,16.109177511490955,3553279.2217483274,0.30762275815808393,0.6923772418419161,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 12.576666666666405, 'RegionF': 19.83004666666659}"
低新能源波动,OPTIMAL,1,1.00600004196167,1.8207201114161427e-15,-458315927.6504218,0.0,3546203.5407179627,0.3069808786766972,0.6930191213233028,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 0.0, 'RegionF': 0.0}"
低新能源波动_影子价格_1,OPTIMAL,1,0.11999988555908203,0.0,-458315927.6504218,0.0,3540570.4150586016,0.30649324116668086,0.6935067588333191,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 0.0, 'RegionF': 0.0}"
低新能源波动_协调_1,OPTIMAL,1,0.9819998741149902,2.2060734892613502e-15,-459313330.2739213,0.0,3542717.5392724117,0.30667910925637604,0.6933208907436239,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 0.0, 'RegionF': 0.0}"
低新能源波动_影子价格_2,OPTIMAL,1,0.11300015449523926,0.0,-459313330.2739213,0.0,3534547.287701968,0.3059718427452167,0.6940281572547833,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 0.0, 'RegionF': 0.0}"
低新能源波动_协调_2,OPTIMAL,1,0.9819998741149902,1.2976110182276305e-16,-459341389.2,0.0,3542589.950922811,0.3066680644352823,0.6933319355647177,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 0.0, 'RegionF': 0.0}"
高新能源波动,INFEASIBLE,0,0.0409998893737793,0.0,,,,,,
高新能源波动_最低碳端点,OPTIMAL,1,2.3970000743865967,0.0,-339768671.0986599,10792.517404976712,3544910.5991765885,0.3173858553709638,0.6826141446290361,"{'RegionA': 180.49990000000716, 'RegionB': 141.30154954999853, 'RegionC': 166.51837954000248, 'RegionD': 141.49526581333348, 'RegionE': 137.1008333333333, 'RegionF': 107.86432248664104}"
高新能源波动_最低弃电端点,TIME_LIMIT,1,60.40300011634827,,-328851948.5170379,10792.503740986798,3468526.282544746,0.3105469518237897,0.6894530481762102,"{'RegionA': 180.49990000000815, 'RegionB': 141.30154954999853, 'RegionC': 166.51837954000243, 'RegionD': 141.49526581332137, 'RegionE': 137.1008333333333, 'RegionF': 107.86432248663992}"
高新能源波动_成本端点,OPTIMAL,1,0.9179999828338623,0.0,-339768671.15670174,10792.517405976716,3544922.8051180467,0.3173869482033673,0.6826130517966327,"{'RegionA': 180.49990000000716, 'RegionB': 141.30154954999853, 'RegionC': 166.51837954000248, 'RegionD': 141.49526581333348, 'RegionE': 137.1008333333333, 'RegionF': 107.86432248664104}"
高新能源波动,OPTIMAL,1,3.8329999446868896,0.0,-339768671.1567018,10792.517405976716,3506724.5438313987,0.3139669500135787,0.6860330499864213,"{'RegionA': 180.49990000000716, 'RegionB': 141.30154954999853, 'RegionC': 166.51837954000248, 'RegionD': 141.49526581333348, 'RegionE': 137.1008333333333, 'RegionF': 107.86432248664104}"
高新能源波动_影子价格_1,OPTIMAL,1,0.17499995231628418,0.0,-339768671.1567018,10792.517405976716,3506724.5438313903,0.313966950013578,0.686033049986422,"{'RegionA': 180.49990000000716, 'RegionB': 141.30154954999853, 'RegionC': 166.51837954000248, 'RegionD': 141.49526581333348, 'RegionE': 137.1008333333333, 'RegionF': 107.86432248664104}"
高新能源波动_协调_1,OPTIMAL,1,1.5460000038146973,0.0,-360819480.7551724,10792.517405976723,3503853.482050134,0.3137098957455582,0.6862901042544418,"{'RegionA': 136.4495837833333, 'RegionB': 103.21449999999993, 'RegionC': 133.11631954000032, 'RegionD': 154.1356933333327, 'RegionE': 191.95166625000064, 'RegionF': 213.72526709}"
高新能源波动_影子价格_2,OPTIMAL,1,0.14100003242492676,0.0,-360819480.7551723,10792.517405976709,3506724.543831383,0.31396695001357733,0.6860330499864227,"{'RegionA': 136.4495837833333, 'RegionB': 103.21449999999993, 'RegionC': 133.11631954000032, 'RegionD': 154.1356933333327, 'RegionE': 191.95166625000064, 'RegionF': 213.72526709}"
高新能源波动_协调_2,OPTIMAL,1,1.3510000705718994,0.0,-380774137.63149256,10792.517405976723,3462521.642493549,0.31000933944527537,0.6899906605547246,"{'RegionA': 136.4495837833333, 'RegionB': 45.99725000000146, 'RegionC': 122.98241999999959, 'RegionD': 66.95530666666747, 'RegionE': 191.95166625000064, 'RegionF': 213.72526709}"
高新能源波动_影子价格_3,OPTIMAL,1,0.11800003051757812,0.0,-380774137.63149256,10792.517405976694,3462306.0750289746,0.3099900390814947,0.6900099609185053,"{'RegionA': 136.4495837833333, 'RegionB': 45.99725000000146, 'RegionC': 122.98241999999959, 'RegionD': 66.95530666666747, 'RegionE': 191.95166625000064, 'RegionF': 213.72526709}"
高新能源波动_协调_3,OPTIMAL,1,1.1010000705718994,1.2125165694829617e-15,-393262385.1948323,9142.845414638603,3418377.8970690556,0.3060570252729278,0.6939429747270722,"{'RegionA': 136.4495837833333, 'RegionB': 39.54995641025632, 'RegionC': 122.98241999999959, 'RegionD': 74.23169333333243, 'RegionE': 170.69833333333213, 'RegionF': 213.72526709}"
