TaskID,OriginalRegion,NewRegion,OriginalStartHour,NewStartHour,EstimatedEnergySaving_CNY,Scenario,Iteration
39850,RegionD,RegionD,2087.0,2092.0,19914.35264,最低碳排放端点_联合协调,2
48426,RegionD,RegionE,646.0,646.0,19907.793919999964,最低碳排放端点_联合协调,2
4642,RegionD,RegionF,1269.0,1268.0,19847.50592000039,最低碳排放端点_联合协调,2
9070,RegionF,RegionF,2300.0,2311.0,19839.60942082853,最低碳排放端点_联合协调,2
15289,RegionD,RegionF,1606.0,1606.0,19832.15923200016,最低碳排放端点_联合协调,2
26280,RegionD,RegionF,1965.0,1953.0,19820.02176000028,最低碳排放端点_联合协调,2
39110,RegionD,RegionD,2184.0,2189.0,19740.672,最低碳排放端点_联合协调,2
18565,RegionD,RegionD,2109.0,2115.0,19703.37839786713,最低碳排放端点_联合协调,2
42600,RegionD,RegionD,451.0,445.0,19694.66026666652,最低碳排放端点_联合协调,2
30670,RegionD,RegionF,215.0,215.0,19690.83269119998,最低碳排放端点_联合协调,2
44048,RegionD,RegionD,2278.0,2284.0,19687.86268159983,最低碳排放端点_联合协调,2
31805,RegionD,RegionF,742.0,740.0,19680.95027200014,最低碳排放端点_联合协调,2
13828,RegionD,RegionD,694.0,699.0,19678.376345599907,最低碳排放端点_联合协调,2
20330,RegionD,RegionD,624.0,628.0,19676.086272,最低碳排放端点_联合协调,2
31168,RegionD,RegionF,1678.0,1678.0,19639.45984,最低碳排放端点_联合协调,2
39837,RegionD,RegionD,1436.0,1425.0,19591.49772799957,最低碳排放端点_联合协调,2
4402,RegionD,RegionD,2154.0,2149.0,19590.333235199807,最低碳排放端点_联合协调,2
43143,RegionD,RegionD,2208.0,2213.0,19558.629376,最低碳排放端点_联合协调,2
11727,RegionD,RegionF,1532.0,1519.0,19516.479999999752,最低碳排放端点_联合协调,2
2805,RegionF,RegionE,2205.0,2205.0,19503.2568362673,最低碳排放端点_联合协调,2
8133,RegionD,RegionF,1269.0,1268.0,19475.72223999966,最低碳排放端点_联合协调,2
4054,RegionD,RegionD,693.0,699.0,19469.59517013307,最低碳排放端点_联合协调,2
2001,RegionD,RegionD,2010.0,2020.0,19451.018581333446,最低碳排放端点_联合协调,2
45898,RegionD,RegionD,1055.0,1059.0,19448.696832,最低碳排放端点_联合协调,2
39931,RegionD,RegionE,2177.0,2175.0,19442.892253867576,最低碳排放端点_联合协调,2
46035,RegionD,RegionD,742.0,748.0,19414.58821120009,最低碳排放端点_联合协调,2
47119,RegionD,RegionD,1631.0,1635.0,19413.663744,最低碳排放端点_联合协调,2
8889,RegionD,RegionD,2326.0,2331.0,19392.716253866965,最低碳排放端点_联合协调,2
27962,RegionD,RegionF,1677.0,1676.0,19354.5797632003,最低碳排放端点_联合协调,2
22342,RegionD,RegionD,1942.0,1948.0,19334.61913599961,最低碳排放端点_联合协调,2
27204,RegionD,RegionD,1534.0,1539.0,19329.561600000423,最低碳排放端点_联合协调,2
44702,RegionD,RegionF,329.0,323.0,19294.226022400013,最低碳排放端点_联合协调,2
16168,RegionD,RegionF,1221.0,1211.0,19181.507310933484,最低碳排放端点_联合协调,2
5625,RegionD,RegionF,742.0,742.0,19165.991424,最低碳排放端点_联合协调,2
16000,RegionD,RegionD,352.0,363.0,19156.543078399875,最低碳排放端点_联合协调,2
7393,RegionD,RegionD,1606.0,1612.0,19136.922624000003,最低碳排放端点_联合协调,2
29089,RegionD,RegionE,717.0,716.0,19104.512000000173,最低碳排放端点_联合协调,2
15493,RegionD,RegionD,1969.0,1973.0,19073.990656,最低碳排放端点_联合协调,2
28052,RegionD,RegionE,1966.0,1966.0,19038.61217279993,最低碳排放端点_联合协调,2
20693,RegionF,RegionF,1487.0,1496.0,19016.710353599923,最低碳排放端点_联合协调,2
30510,RegionD,RegionD,213.0,220.0,18990.97374720008,最低碳排放端点_联合协调,2
8608,RegionD,RegionD,2326.0,2331.0,18962.5344,最低碳排放端点_联合协调,2
40324,RegionF,RegionF,2299.0,2309.0,18944.97810576808,最低碳排放端点_联合协调,2
48338,RegionD,RegionD,1368.0,1373.0,18936.53476693339,最低碳排放端点_联合协调,2
8257,RegionD,RegionF,810.0,811.0,18927.039488000177,最低碳排放端点_联合协调,2
16330,RegionE,RegionF,1393.0,1393.0,18903.378,最低碳排放端点_联合协调,2
41590,RegionD,RegionE,1439.0,1439.0,18883.09248,最低碳排放端点_联合协调,2
14908,RegionD,RegionF,404.0,393.0,18828.01479680008,最低碳排放端点_联合协调,2
44767,RegionD,RegionF,1628.0,1617.0,18818.53542400016,最低碳排放端点_联合协调,2
39509,RegionD,RegionD,693.0,699.0,18735.58159359988,最低碳排放端点_联合协调,2
23807,RegionD,RegionE,2088.0,2088.0,18731.307008000003,最低碳排放端点_联合协调,2
45448,RegionD,RegionE,1917.0,1917.0,18695.692834133395,最低碳排放端点_联合协调,2
64,RegionE,RegionF,1729.0,1729.0,18685.458,最低碳排放端点_联合协调,2
23872,RegionD,RegionD,929.0,925.0,18668.121292799915,最低碳排放端点_联合协调,2
