Region,TaskType,Model,ZeroRate,Validation_RMSE,MAE,RMSE,WMAPE
RegionA,RealTimeInference,ARIMA,0.08120748299319729,5.986074414236592,5.550137415567915,6.228790370833656,0.6404004710270671
RegionA,BatchInference,ARIMA,0.24872448979591838,15.523333127610103,14.847022060079475,20.38803409026138,0.6945975232785719
RegionA,AITraining,SBA-Croston,0.6938775510204082,39.34003005127552,38.39857839217428,48.18258023918666,1.5916509178103326
RegionB,RealTimeInference,ARIMA,0.11267006802721088,7.4861397031291,4.049637449043575,5.000807109643361,0.5115331514581358
RegionB,BatchInference,ARIMA,0.2457482993197279,20.01963098394128,13.920802931626511,19.175161737660076,0.6339644598843193
RegionB,AITraining,SBA-Croston,0.6938775510204082,59.678286222477375,38.70733594282089,43.703143763179845,1.2866704468527719
RegionC,RealTimeInference,ARIMA,0.1679421768707483,6.649316991099481,4.390008747305455,5.7805697090658406,0.6753859611239161
RegionC,BatchInference,ARIMA,0.3388605442176871,11.542556207951545,9.649291980760296,11.487566680045408,0.749459571321188
RegionC,AITraining,SBA-Croston,0.7087585034013606,43.170492947468425,25.919530915041804,32.00381930428472,1.4671432593419889
RegionD,RealTimeInference,SBA-Croston,0.8116496598639455,2.415413752295654,1.6673489915954978,2.4549220826397513,1.3338791932763983
RegionD,BatchInference,ARIMA,0.2593537414965986,17.79301275735594,14.722726110979385,18.63135805903715,0.6579989323342742
RegionD,AITraining,ARIMA,0.10034013605442177,81.14189022917749,85.2306150617707,102.36261717484686,0.564129829421538
RegionE,RealTimeInference,SBA-Croston,0.76828231292517,1.877822306570022,1.6508842105768453,2.1543225738847402,1.278103904962719
RegionE,BatchInference,ARIMA,0.3958333333333333,13.04845841288369,13.34080751962552,18.834428489357915,0.6930289620584685
RegionE,AITraining,ARIMA,0.17687074829931973,105.8753884759186,98.53103859608132,138.0393851496536,0.5645129926727027
RegionF,RealTimeInference,SBA-Croston,0.8154761904761905,2.318033597540484,0.905067997623617,1.5237833417011422,1.4481087961977872
RegionF,BatchInference,ARIMA,0.42304421768707484,11.51347391818531,9.592143799577686,11.461443293061327,0.9796231965526147
RegionF,AITraining,ARIMA,0.17559523809523808,106.60376056261876,94.75970620961375,123.82988137477575,0.4842915138481112
